date,sss_forecast
2018-08-01,31.679759
2019-05-01,33.79774520238095
2019-06-01,32.75897080357143
2019-07-01,34.28228001190477
2020-05-01,36.23478516
2020-06-01,34.01429642857143
2020-07-01,34.6470677012987
2020-08-01,33.583206
2020-09-01,33.18279333333333
2021-05-01,34.82573877380952
2021-06-01,33.602809848214285
2021-07-01,34.306395514095236
2021-08-01,35.050821225791125
2021-09-01,33.76308228571428
2021-10-01,35.62354465370518
2022-04-01,35.6565584816567
2022-05-01,35.457082064922844
2022-06-01,35.11128356099412
2022-07-01,34.19529034248145
2022-08-01,33.561353390646936
2022-09-01,35.233679928227566
2022-10-01,35.599918311808324
2022-11-01,35.841938039840635
2023-03-01,35.84281141071428
2023-04-01,36.15789688645418
2023-05-01,34.949408208088286
2023-06-01,35.21915676942055
2023-07-01,34.23627373738337
2023-08-01,34.34188623217819
2023-09-01,35.695706532609826
2023-10-01,34.99567916163312
2023-11-01,34.53537845883134
2023-12-01,35.073096392682345
2024-01-01,34.88231864954736
2024-02-01,35.30317766227424
2024-03-01,35.433521570769884
2024-04-01,35.562867036989104
2024-05-01,35.48898947101614
2024-06-01,35.509434207315124
2024-07-01,35.29645014921115
2024-08-01,35.035073923614185
2024-09-01,35.13018587825486
2024-10-01,35.195066137471365
2024-11-01,35.263275117978665
2024-12-01,35.44651912254739
2025-01-01,35.53319317988991
2025-02-01,35.52300351693319
2025-03-01,35.48381358795087
2025-04-01,35.35143453440661
2025-05-01,35.226357434292275
2025-06-01,35.12792243664828
2025-07-01,35.150873223885085
2025-08-01,35.20358396517229
2025-09-01,35.22187561036047
2025-10-01,35.26472218642653
2025-11-01,35.37046992029273
2025-12-01,35.37294754720871
2026-01-01,35.44503407242751
2026-02-01,35.46927424255522
2026-03-01,35.426560594371196
2026-04-01,35.43569299423625
2026-05-01,35.315028272847016
2026-06-01,35.26498984575039
2026-07-01,35.269426279655804
2026-08-01,35.21753393742171
2026-09-01,35.22213494535632
2026-10-01,35.229009814812144
2026-11-01,35.322024477603584
2026-12-01,35.32147088885937
2027-01-01,35.44983568678688
2027-02-01,35.47717168644221
2027-03-01,35.4596971195533
2027-04-01,35.45807631871393
2027-05-01,35.286574051237345
2027-06-01,35.245793094156205
2027-07-01,35.216531625584906
2027-08-01,35.11103824437318
2027-09-01,35.20246763444706
2027-10-01,35.22850659346411
2027-11-01,35.32902809821172
2027-12-01,35.357146287503
2028-01-01,35.49354159408623
2028-02-01,35.47073722657669
2028-03-01,35.44799808950181
2028-04-01,35.43023427708076
2028-05-01,35.28260010955726
2028-06-01,35.242648791094815
2028-07-01,35.24683314177809
2028-08-01,35.223836380144895
2028-09-01,35.22401936314815
2028-10-01,35.244050288716835
2028-11-01,35.32674442055246
